source,time_since_cmd,x,y,z
odom,3.512144358,1.6476165258533282,-0.4661125961120779,-0.7562272845766574
odom,3.55997672,1.6693454721408278,-0.4783290059488586,-0.76810744144658
cmd_pose,3.608234332,20.0,0.0,0.0
odom,3.610993297,1.691531923862658,-0.4905532361576675,-0.7800362509454256
odom,3.660489432,1.714189109940592,-0.5027873645135736,-0.7919302327866259
cmd_pose,3.708190517,20.0,0.0,0.0
odom,3.71125706,1.7373041702554115,-0.5150020409828153,-0.8037711867746126
odom,3.760535519,1.7608914329452765,-0.5272009737995917,-0.8155714456746087
cmd_pose,3.807462551,20.0,0.0,0.0
odom,3.810918822,1.7849365142394098,-0.5393504476707517,-0.8273599040413337
odom,3.86087264,1.8094546368352293,-0.5514584441798774,-0.8391208814556813
cmd_pose,3.907625971,20.0,0.0,0.0
odom,3.912769189,1.834429739589789,-0.5634884106727922,-0.8508643855923532
odom,3.961593576,1.859876917875412,-0.5754500512470085,-0.8625779333982754
cmd_pose,4.008850983,20.0,0.0,0.0
odom,4.013708429,1.8857787374444852,-0.5873049203025088,-0.8742719961815817
odom,4.061690639,1.9121503068802204,-0.5990646234667665,-0.8859345360083557
cmd_pose,4.108794868,20.0,0.0,0.0
odom,4.113360254,1.9389728738952912,-0.6106892731409085,-0.8975756661986031
odom,4.162313346,1.9662621946386702,-0.6221900244437277,-0.909183489996957
cmd_pose,4.208310366,20.0,0.0,0.0
odom,4.214531423,1.9939974531199314,-0.6335294532286524,-0.9207678792866982
odom,4.262654885,2.022193997600932,-0.6447222620605303,-0.9323174229133638
cmd_pose,4.307362422,20.0,0.0,0.0
odom,4.312546938,2.0508304454185287,-0.6557262323963974,-0.9438420557942184
odom,4.363374553,2.079923047783611,-0.6665590996029761,-0.9553303929121237
cmd_pose,4.408338626,20.0,0.0,0.0
odom,4.414874875,2.109448756953314,-0.6771777875538715,-0.9667924502435961
odom,4.463366286,2.1394248714114106,-0.6876023765397435,-0.9782168691326177
cmd_pose,4.507499202,20.0,0.0,0.0
odom,4.513723298,2.1698267167077234,-0.6977890064098521,-0.9896137981652456
odom,4.563789821,2.200673009967684,-0.7077601109277819,-1.0009718459596146
cmd_pose,4.607533008,20.0,0.0,0.0
odom,4.615242421,2.2319374541386656,-0.7174713249273618,-1.0123013124152234
odom,4.664703315,2.2636406072371185,-0.7269473400168929,-1.0235907488054516
cmd_pose,4.707540712,20.0,0.0,0.0
odom,4.714604255,2.295754543030092,-0.7361435196559731,-1.0348506036311538
odom,4.764876547,2.328302121771236,-0.7450866434970528,-1.0460693608398879
cmd_pose,4.807680289,20.0,0.0,0.0
odom,4.815654424,2.3612537962933837,-0.753732040560729,-1.0572575994374862
odom,4.86836424,2.394635199568188,-0.7621083029633353,-1.0684037366390655
cmd_pose,4.908641011,20.0,0.0,0.0
odom,4.918172088,2.428415188970747,-0.7701709638851773,-1.0795184525118962
odom,4.969070004,2.4626226262360063,-0.7779500363838269,-1.0905901043910964
cmd_pose,5.008345269,20.0,0.0,0.0
odom,5.019129889,2.49722481618516,-0.7854014958074819,-1.101629436017419
odom,5.070550387,2.5322239694268722,-0.7925024583685341,-1.1126278341974671
cmd_pose,5.107287899,20.0,0.0,0.0
odom,5.12185799,2.5675866243521623,-0.7992025304364567,-1.1235937999250332
odom,5.170980398,2.603311498637921,-0.805540681574827,-1.1345079503981823
cmd_pose,5.207614471,20.0,0.0,0.0
odom,5.221906695,2.6393635758035,-0.811475544682654,-1.1453738522564154
odom,5.278384454,2.675708166083792,-0.817036907182342,-1.1561697989518374
cmd_pose,5.3078368,20.0,0.0,0.0
odom,5.328620037,2.712315436152765,-0.82218714955763,-1.1668944489662412
odom,5.379028756,2.74917037592308,-0.8269563133064353,-1.1775330885869209
cmd_pose,5.408769482,20.0,0.0,0.0
odom,5.429513725,2.78625397322573,-0.8313096665902323,-1.188082671050914
odom,5.479755977,2.8235706636570272,-0.8352747397684952,-1.198534908186692
cmd_pose,5.507501239,20.0,0.0,0.0
odom,5.529191504,2.861108176637658,-0.8388180843598559,-1.2088859750928735
odom,5.580904538,2.898881783038157,-0.8419634433153921,-1.2191312531563339
cmd_pose,5.608769433,20.0,0.0,0.0
odom,5.630418212,2.9368818936160106,-0.8446781952843061,-1.2292661924569155
odom,5.68081315,2.9751311590383356,-0.8469820096858053,-1.23928843593944
cmd_pose,5.708070446,20.0,0.0,0.0
odom,5.730922104,3.0136284562775324,-0.8488518924324316,-1.2491914884832664
odom,5.781384649,3.0524050403474945,-0.8503050758006626,-1.2589727505723343
cmd_pose,5.808522342,20.0,0.0,0.0
odom,5.831644599,3.0914320005366807,-0.8512976118923751,-1.2686315728760436
odom,5.880905344,3.1307487617326157,-0.8518424943835844,-1.2781641305526086
cmd_pose,5.908319591,20.0,0.0,0.0
odom,5.932382539,3.1703494506077097,-0.8519160786565927,-1.2875664232479045
odom,5.981968753,3.210272968932879,-0.8515267834933302,-1.296834229857474
cmd_pose,6.007911953,20.0,0.0,0.0
odom,6.032313151,3.250492434122287,-0.8506409820356093,-1.30596707427119
odom,6.08233238,3.2910564330213905,-0.8492594244275807,-1.314958116003316
cmd_pose,6.109120237,20.0,0.0,0.0
odom,6.13201552,3.331942264042196,-0.8475829081067814,-1.3238246208783089
odom,6.182895872,3.3732819729624173,-0.8468101200553324,-1.3326411260287099
cmd_pose,6.207236513,20.0,0.0,0.0
odom,6.232095022,3.415099347308562,-0.8469368731765414,-1.3414153496288124
odom,6.283357909,3.45747083633715,-0.8478827505325962,-1.3501276160615747
cmd_pose,6.308393869,20.0,0.0,0.0
odom,6.332937664,3.500402033776918,-0.8495106085187043,-1.35877660459537
odom,6.3839058,3.543957609511518,-0.8518417891018055,-1.3673471910286494
cmd_pose,6.407755264,20.0,0.0,0.0
odom,6.433090346,3.5881373224065194,-0.8547401232809155,-1.375838346924409
odom,6.483154009,3.6330121594376283,-0.858230161669347,-1.38423612355001
cmd_pose,6.50754386,20.0,0.0,0.0
odom,6.534598313,3.6785720677308085,-0.8621717239054512,-1.3925385481468529
odom,6.583715828,3.724891569526865,-0.8665975949405469,-1.4007326235201565
cmd_pose,6.607891825,20.0,0.0,0.0
odom,6.633987399,3.771948296402683,-0.8713677133204258,-1.4088149872656555
odom,6.684764572,3.8198173011593184,-0.8765212663459608,-1.4167728427238617
cmd_pose,6.708098755,20.0,0.0,0.0
odom,6.734944416,3.8684634167311804,-0.8819211409547205,-1.4246012887073867
odom,6.78489562,3.917960962274199,-0.8876115525631144,-1.4322873569132453
cmd_pose,6.807665126,20.0,0.0,0.0
odom,6.835158395,3.968262456924506,-0.8934606651390508,-1.4398246870588327
odom,6.885912957,4.019440450528766,-0.8995164637781657,-1.4471998981657237
cmd_pose,6.907437372,20.0,0.0,0.0
odom,6.934950982,4.07143616597556,-0.9056542623533558,-1.454405373491358
odom,6.985915213,4.124319539576247,-0.9119245982138761,-1.4614271788643525
cmd_pose,7.007921665,20.0,0.0,0.0
odom,7.035539767,4.178021812009486,-0.9182114604111601,-1.4682567097759067
odom,7.086291295,4.2326094297257235,-0.924566823901867,-1.4748795416563059
cmd_pose,7.107826934,20.0,0.0,0.0
odom,7.135658171,4.288005060415216,-0.9308846064687122,-1.4812870825496307
odom,7.186986158,4.344270617350692,-0.9372172261677711,-1.4874654000861829
cmd_pose,7.207975182,20.0,0.0,0.0
odom,7.237283713,4.401321776914581,-0.9434696006123444,-1.4934065746781378
odom,7.286156993,4.45921512691195,-0.9496937094368215,-1.4990957317137916
cmd_pose,7.3075136,20.0,0.0,0.0
odom,7.336894822,4.517861093866482,-0.955806340636008,-1.5045257159684025
odom,7.386357063,4.577310053279127,-0.9618582024271316,-1.509680071195461
cmd_pose,7.40792776,20.0,0.0,0.0
odom,7.436789266,4.6374689976350485,-0.9677786446840559,-1.5145526633292241
odom,7.487005683,4.698381146574775,-0.9736163260893131,-1.519125465861762
cmd_pose,7.507465741,20.0,0.0,0.0
odom,7.537398589,4.759951781180173,-0.9793136876041451,-1.5233935294268595
odom,7.5878956,4.822216101267789,-0.9849166044722186,-1.5273372695766951
cmd_pose,7.607528299,20.0,0.0,0.0
odom,7.637585108,4.885079360779874,-0.9903809641639336,-1.5309529374846154
odom,7.688250223,4.948567917997341,-0.9957491827051221,-1.5342193764702112
cmd_pose,7.707426745,20.0,0.0,0.0
odom,7.737883412,5.012588734992474,-1.000990764105799,-1.5371339364563337
odom,7.789105931,5.077158492313438,-1.0061440280617957,-1.5396739579653764
cmd_pose,7.807710048,20.0,0.0,0.0
odom,7.838514422,5.142186543210528,-1.0111920039086018,-1.5418374512889792
odom,7.888674124,5.207679190290289,-1.0161684166818161,-1.543599248994412
cmd_pose,7.907696581,20.0,0.0,0.0
odom,7.938910081,5.27355268368639,-1.0210695431044177,-1.544958111424974
odom,7.988759832,5.339801120390738,-1.0259239669963038,-1.5458887792914482
cmd_pose,8.007625741,20.0,0.0,0.0
odom,8.039541069,5.406327330309953,-1.0307387392912448,-1.546389222983472
odom,8.088973043,5.473033288782299,-1.0355218095787255,-1.546429060023467
cmd_pose,8.107794681,20.0,0.0,0.0
odom,8.140026509,5.539844332037421,-1.0402918616346686,-1.5460066186779098
odom,8.191145548,5.606674322519127,-1.0450538976835924,-1.5450926231450808
cmd_pose,8.208118407,20.0,0.0,0.0
odom,8.240944304,5.673477245758228,-1.0498372099525297,-1.5436857413010312
odom,8.290314911,5.740183068167128,-1.0546405561926664,-1.5417581592123863
cmd_pose,8.307486411,20.0,0.0,0.0
odom,8.340455105,5.806754930974667,-1.0594883536066748,-1.5393049934545764
odom,8.391918879,5.873133321370941,-1.0643778129952923,-1.536304093386739
cmd_pose,8.407676291,20.0,0.0,0.0
odom,8.441203853,5.939298545577649,-1.0693404157887423,-1.5327475099796763
odom,8.491492104,6.005200405914532,-1.0743659536482624,-1.5286161532335818
cmd_pose,8.507386855,20.0,0.0,0.0
odom,8.542124181,6.070831423781566,-1.0794880722772542,-1.5238986712870677
odom,8.592691068,6.136149738972381,-1.0846917985680076,-1.5185795743052688
cmd_pose,8.607699744,20.0,0.0,0.0
odom,8.642282208,6.201156253607599,-1.0900118698331522,-1.512645135291541
odom,8.693725962,6.265815984801484,-1.0954300889246953,-1.5060825950635957
cmd_pose,8.70747654,20.0,0.0,0.0
odom,8.742325455,6.330135508987485,-1.100981407251034,-1.4988763467992567
odom,8.7925255,6.394085037434011,-1.1066456163075582,-1.4910155507164284
cmd_pose,8.80759448,20.0,0.0,0.0
odom,8.842858343,6.457674370584295,-1.1124573806073919,-1.4824828926054514
odom,8.894378966,6.520877483801978,-1.1183953161288267,-1.4732687689373687
cmd_pose,8.907463586,20.0,0.0,0.0
odom,8.943259479,6.5837053688510565,-1.1244935141758297,-1.4633542743440857
odom,8.995320543,6.64613443564382,-1.130730079454247,-1.4527304933054213
cmd_pose,9.007415453,20.0,0.0,0.0
odom,9.043639752,6.70817528968685,-1.137138351191689,-1.4413770282202956
odom,9.094501976,6.769805629308391,-1.1436964270856405,-1.4292852385378532
cmd_pose,9.107296713,20.0,0.0,0.0
odom,9.144591838,6.831034497696569,-1.1504367868071195,-1.4164333450283648
odom,9.19512025,6.891839945426908,-1.1573379065861957,-1.4028126939349799
cmd_pose,9.208307183,20.0,0.0,0.0
odom,9.244313055,6.952228606424828,-1.1644313433003957,-1.3884002628406649
odom,9.29625682,7.012178150315871,-1.1716962478776547,-1.373187210886488
cmd_pose,9.308069725,20.0,0.0,0.0
odom,9.345542687,7.0716922094911565,-1.179163217701291,-1.3571494479053796
odom,9.395337169,7.130747509622041,-1.1868123113310063,-1.3402778759571323
cmd_pose,9.407642189,20.0,0.0,0.0
odom,9.445536275,7.189344265899321,-1.1946731392780607,-1.3225475581755022
odom,9.495386313,7.247457736957846,-1.202726864810294,-1.3039491749408079
cmd_pose,9.507530702,20.0,0.0,0.0
odom,9.54567378,7.305084352934687,-1.2110020753420758,-1.2844572317580714
odom,9.595839942,7.362197081861362,-1.2194811708509194,-1.2640623950989434
cmd_pose,9.607795259,20.0,0.0,0.0
odom,9.646264508,7.41878831643755,-1.2281918396184153,-1.2427389044513735
odom,9.696596159,7.474829456962831,-1.2371174629815378,-1.2204776201885281
cmd_pose,9.707566329,20.0,0.0,0.0
odom,9.746548237,7.53031032857701,-1.2462848754081275,-1.1972524679266503
odom,9.798009017,7.585203893538385,-1.2556795175823328,-1.173053606359603
cmd_pose,9.807641338,20.0,0.0,0.0
odom,9.84745562,7.6395657927964296,-1.2654402709358568,-1.1483206214779893
odom,9.897793934,7.693521690123122,-1.2757637252798908,-1.1239094299845542
cmd_pose,9.9077516,20.0,0.0,0.0
odom,9.94795477,7.747092807626817,-1.2866735601023689,-1.0998049699975503
odom,9.998997788,7.80026514220447,-1.2981225860988022,-1.0758643671487893
cmd_pose,10.007831595,20.0,0.0,0.0
odom,10.047963492,7.853053014782562,-1.3101400930283216,-1.0521154933057846
odom,10.099256585,7.905444373781844,-1.3226973180395059,-1.0285185423264942
cmd_pose,10.107578703,20.0,0.0,0.0
odom,10.148938376,7.9574506087205,-1.3358195851189958,-1.0050971574316325
odom,10.1993031,8.009055323354907,-1.3494744835338495,-0.9818129352480185
cmd_pose,10.207352114,20.0,0.0,0.0
odom,10.249466621,8.060148995820658,-1.3636416803113378,-0.958706321658007
odom,10.299486076,8.110500142894534,-1.3781784839883946,-0.935796737357242
cmd_pose,10.307863211,20.0,0.0,0.0
odom,10.349202547,8.160003328052978,-1.3930590935977845,-0.9131308813339258
odom,10.399779416,8.208409330435774,-1.4081071954549704,-0.8907592966356831
cmd_pose,10.408713692,20.0,0.0,0.0
odom,10.449618869,8.255739471559764,-1.423343360749437,-0.8687139126995592
odom,10.499727385,8.301934670601637,-1.4386784387398428,-0.8470290332126529
cmd_pose,10.507241416,20.0,0.0,0.0
odom,10.550106556,8.347054012676914,-1.4536805208999235,-0.825835208366972
odom,10.601644825,8.39110101732924,-1.4672138828368297,-0.8053996850228593
cmd_pose,10.607197005,20.0,0.0,0.0
odom,10.650779359,8.434222755003379,-1.47939705756047,-0.785707861668632
odom,10.70068359,8.476564738735977,-1.4903237878833169,-0.7667126337364186
cmd_pose,10.707507719,20.0,0.0,0.0
odom,10.750761162,8.518289206746584,-1.5000995491253488,-0.7483668424429456
odom,10.801225447,8.559536199256637,-1.5086569570797106,-0.7306697102946795
cmd_pose,10.807707884,20.0,0.0,0.0
odom,10.851580403,8.600462747869914,-1.516025619676857,-0.7135995507397346
odom,10.90212839,8.641207308951694,-1.522194237968287,-0.6971265115391709
cmd_pose,10.908610923,20.0,0.0,0.0
odom,10.951966284,8.68191265187591,-1.527185791131291,-0.6812168792963442
odom,11.001886707,8.722713576743432,-1.5309761062888803,-0.6658467248968735
cmd_pose,11.008585401,20.0,0.0,0.0
odom,11.052084752,8.763735294069578,-1.5335742586079897,-0.6509753083211401
