source,time_since_cmd,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az
odom,2.516280391,0.00035350973873086625,8.925679784616994e-05,-9.145978420213186,-0.0007231817534834478,-0.000942601153391719,-0.007627290864501315,0.9999702060288023,0.000692361518210015,-0.0005663909982295272,0.29367152730296475,0.0,0.0,0.0
mpu,2.517701138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.025,-0.025,9.755
odom,2.569872165,0.00035925712463904223,8.156616419635084e-05,-9.131635620086325,-0.0007360813330029714,-0.0009206764208435541,-0.00760611439577495,0.9999703783427776,0.0006659348813876676,-0.0005670957137390043,0.2890189880927513,0.0,0.0,0.0
cmd_pose,2.599816029,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,2.619999677,0.00036461613201641126,7.390545054944568e-05,-9.117522275590687,-0.0007487360386979251,-0.0008980068622901803,-0.0075839493598836415,0.9999705579116449,0.0006392641159559562,-0.0005673988983781184,0.28456022534803427,0.0,0.0,0.0
mpu,2.620524272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.01,-0.015,9.745000000000001
odom,2.670422172,0.00036933497017136043,6.623772329757688e-05,-9.103682434146824,-0.0007612058028228591,-0.0008744980302233136,-0.0075596909210086565,0.9999707530183569,0.0006070032197894107,-0.0005671682249790348,0.2795306848355098,0.0,0.0,0.0
cmd_pose,2.69992196,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,2.72030013,0.0003737207195048063,5.8594807314252757e-05,-9.090050090984013,-0.0007731985791340681,-0.0008503768182099528,-0.00753876320153255,0.9999709226135606,0.0005756862326950095,-0.0005669104840133952,0.2747207154783407,0.0,0.0,0.0
mpu,2.721139902,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.04,-0.005,9.71
odom,2.77067974,0.00037791166829397185,5.101039687792943e-05,-9.076627688851792,-0.000784926698031843,-0.0008257838705707568,-0.007517238626026983,0.9999710961295417,0.0005500297773218981,-0.0005664612258094407,0.2705463571017478,0.0,0.0,0.0
cmd_pose,2.800522623,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odom,2.820157019,0.0003821526170205137,4.352107136511059e-05,-9.06337520265,-0.0007962740507916094,-0.0008008755990319066,-0.007497233488267543,0.999971257604904,0.0005289733227812762,-0.0005654517000875177,0.26674781535230985,0.0,0.0,0.0
mpu,2.820356923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.04,0.015,9.75
odom,2.870721028,0.0003862068818388961,3.61167187115018e-05,-9.05033333962869,-0.0008074264719393484,-0.0007756000310984701,-0.007474942211925802,0.99997143546504,0.000508186951044193,-0.0005638183066456875,0.2629424517608262,0.0,0.0,0.0
cmd_pose,2.900219571,0.0,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
